Date,Open,High,Low,Close
2021-12-28,399.559998,401.209991,397.23999,401.209991
2021-12-27,400.609985,401.070007,398.309998,398.609985
2021-12-24,399.720001,402.459991,399.660004,400.529999
2021-12-23,397.980011,398.359985,395.709991,398.149994
2021-12-22,396.820007,398.059998,394.769989,396.070007
2021-12-21,394.350006,395.279999,391.190002,393.950012
2021-12-20,396.420013,396.609985,390.920013,391.369995
2021-12-17,394.459991,399.019989,394.26001,398.959991
2021-12-16,398.929993,399.679993,395.190002,397.679993
2021-12-15,393.98999,395.76001,392.850006,395.660004
2021-12-14,394.540009,397.019989,393.5,395.410004
2021-12-13,399.380005,403.369995,396.829987,397.269989
2021-12-10,398.209991,399.119995,396.579987,397.970001
2021-12-09,398.190002,401.130005,396.929993,401.130005
2021-12-08,399.890015,402.339996,396.320007,397.269989
2021-12-07,392.880005,396.459991,391.290009,396.309998
2021-12-06,389.950012,394.399994,387.579987,392.850006
2021-12-03,388.209991,393.299988,386.420013,391.959991
2021-12-02,379.76001,389.640015,379.589996,389.640015
2021-12-01,376.450012,384.049988,373.609985,383.130005
2021-11-30,385.01001,386.339996,370.859985,373.23999
2021-11-29,381.25,384.970001,379.269989,381.630005
2021-11-26,390.609985,392.809998,384.190002,385.070007
2021-11-25,395.670013,395.730011,391.690002,391.929993
2021-11-24,397.880005,399.380005,393.269989,395.399994
2021-11-23,399.429993,399.519989,395.579987,396.440002
2021-11-22,393.160004,399.880005,392.75,399.070007
2021-11-19,387.970001,391.23999,387.309998,390.529999
2021-11-18,388.859985,390,386.309998,387.440002
2021-11-17,394.880005,395.25,388.700012,389.440002
2021-11-16,393.940002,396.48999,392.619995,394.070007
2021-11-15,393.359985,395.559998,392.160004,394.359985
2021-11-12,389.130005,391.769989,387.459991,390.380005
2021-11-11,383.839996,386.029999,382.570007,385.970001
2021-11-10,388.369995,390.359985,385.570007,386.23999
2021-11-09,389.170013,393.130005,388.25,390.359985
2021-11-08,390.100006,390.709991,385.5,389.589996
2021-11-05,394.649994,394.809998,387.660004,389.859985
2021-11-04,393.160004,395.149994,390.75,391.540009
2021-11-03,395.730011,395.850006,388.519989,389.480011
2021-11-02,392.179993,398.100006,392.179993,394.820007
2021-11-01,390.339996,391.649994,389.140015,389.809998
2021-10-29,396.079987,396.920013,387.820007,388.470001
2021-10-28,394.869995,397.790009,393.890015,393.890015
2021-10-27,398.309998,398.820007,394.410004,395.480011
2021-10-26,397.75,399.670013,396.279999,399.070007
2021-10-25,392.450012,395.98999,390.019989,395.01001
2021-10-22,392.820007,394.910004,391.540009,393.339996
2021-10-21,393.559998,395.51001,392.380005,393.179993
2021-10-20,397.480011,398.089996,393.600006,393.73999
2021-10-19,394.26001,395.920013,393.269989,395.410004
2021-10-18,393.390015,394.160004,389.73999,392.019989
2021-10-15,392.940002,394.579987,391.359985,393.190002
2021-10-14,387.390015,389.630005,386.480011,389.589996
2021-10-13,380.119995,385.720001,379.309998,384.100006
2021-10-12,386.269989,386.600006,379.079987,380.690002
2021-10-08,390.420013,390.700012,386.540009,387.420013
2021-10-07,385.869995,388.779999,384.589996,388.140015
2021-10-06,391.01001,392.369995,381.929993,381.929993
2021-10-05,391.950012,392.019989,384.920013,388.01001
2021-10-01,399.529999,400.519989,394.140015,394.790009
2021-09-30,399.410004,402.899994,397.980011,401.299988
2021-09-29,400.440002,402.279999,396.779999,400.089996
2021-09-28,410.73999,411.100006,405.790009,406.200012
2021-09-27,409.279999,412.720001,408.970001,410.970001
2021-09-24,412.01001,412.799988,409.089996,409.839996
2021-09-23,409.040009,410.920013,407.390015,410.459991
2021-09-17,408.899994,411.359985,407.070007,410.98999
2021-09-16,414.220001,414.679993,408.790009,409.220001
2021-09-15,412.049988,414.609985,410.75,412.850006
2021-09-14,411.059998,414.850006,410.980011,412.359985
2021-09-13,407.329987,410.869995,406.429993,409.700012
2021-09-10,407.98999,409.779999,405.98999,408.700012
2021-09-09,411.980011,413.640015,406.679993,407.279999
2021-09-08,416.350006,417.619995,413.339996,414.540009
2021-09-07,419.850006,419.880005,416.279999,417.799988
2021-09-06,418.98999,420.73999,417.850006,420.369995
2021-09-03,417.670013,419.779999,416.399994,419.220001
2021-09-02,419.190002,420.200012,414.98999,415.890015
2021-09-01,419.170013,421.309998,417.160004,419.920013
2021-08-31,411.690002,419.899994,409.670013,419.790009
2021-08-30,414.149994,414.850006,410.040009,411.5
2021-08-27,408.630005,411.790009,406.809998,410.23999
2021-08-26,414.48999,415.73999,409.790009,410.380005
2021-08-25,414.01001,416.029999,410.630005,413.950012
2021-08-24,408.470001,412.940002,408.26001,412.480011
2021-08-23,404.320007,407.820007,401.630005,404.579987
2021-08-20,406.640015,408.350006,399.179993,400.779999
2021-08-19,410.839996,412.929993,404.910004,404.959991
2021-08-18,410.920013,415.380005,408.459991,413.359985
2021-08-17,415.5,417.230011,410.309998,411.309998
2021-08-13,421.380005,422.040009,413.640015,416.059998
2021-08-12,423.170013,425.529999,421.420013,422.380005
2021-08-11,427.160004,428.880005,424.299988,424.73999
2021-08-10,433.01001,433.109985,427.279999,428.559998
2021-08-09,431.570007,433.160004,430.049988,431.649994
2021-08-06,434.850006,436.609985,432.269989,433.290009
2021-08-05,436.459991,437.850006,434.23999,434.73999
2021-08-04,431.600006,436.709991,430.160004,436.049988
2021-08-03,426.649994,429.980011,426.420013,429.980011
2021-08-02,426.290009,426.850006,422.859985,426.790009
2021-07-30,428.119995,428.209991,423.910004,423.910004
2021-07-29,430.579987,431.190002,428.179993,429.48999
2021-07-28,427.299988,429.709991,425.339996,429.149994
2021-07-27,430.140015,431.149994,427.890015,428.220001
2021-07-26,433.140015,433.279999,427.459991,427.470001
2021-07-23,431.75,433.230011,430.269989,431.549988
